"ITTER107","Territorio","SEXISTAT1","Sesso","ETA1","Classe di età","TITOLO_STUDIO","Titolo di studio","CITTADINANZA","Cittadinanza","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","9","totale","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2019-Q2","T2-2019",5386.125,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2019-Q4","T4-2019",5367.608,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2019-Q3","T3-2019",5470.994,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2020","2020",5173.508,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2020-Q2","T2-2020",5213.521,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2020-Q1","T1-2020",5127.718,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2020-Q3","T3-2020",5288.96,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2020-Q4","T4-2020",5063.836,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","7","diploma","ITL","italiano-a","2019","2019",9879.905,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","7","diploma","ITL","italiano-a","2019-Q1","T1-2019",9781.627,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","7","diploma","ITL","italiano-a","2019-Q2","T2-2019",9958.501,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","7","diploma","ITL","italiano-a","2019-Q4","T4-2019",9858.416,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","7","diploma","ITL","italiano-a","2019-Q3","T3-2019",9921.074,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","7","diploma","ITL","italiano-a","2020","2020",9723.876,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","7","diploma","ITL","italiano-a","2020-Q2","T2-2020",9593.778,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","7","diploma","ITL","italiano-a","2020-Q1","T1-2020",9817.243,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","7","diploma","ITL","italiano-a","2020-Q3","T3-2020",9673.361,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","7","diploma","ITL","italiano-a","2020-Q4","T4-2020",9811.123,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","11","laurea e post-laurea","ITL","italiano-a","2019","2019",5161.869,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","11","laurea e post-laurea","ITL","italiano-a","2019-Q1","T1-2019",5118.415,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","11","laurea e post-laurea","ITL","italiano-a","2019-Q2","T2-2019",5228.564,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","11","laurea e post-laurea","ITL","italiano-a","2019-Q4","T4-2019",5219.441,,
